City Name,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Linxia Chengguanzhen, 35.6003, 103.2064, 69.78, 81, 96, 3.87, CN, 1660339551 
Rikitea, -23.1203, -134.9692, 73.18, 73, 100, 23.51, PF, 1660339554 
Horsham, 51.064, -0.3272, 76.05, 52, 0, 5.75, GB, 1660339557 
Port Alfred, -33.5906, 26.891, 59.13, 72, 98, 15.43, ZA, 1660339559 
Nome, 64.5011, -165.4064, 51.87, 87, 100, 9.22, US, 1660339561 
Hithadhoo, -0.6, 73.0833, 82.09, 76, 76, 11.99, MV, 1660339279 
Lagos, 6.5833, 3.75, 77.32, 87, 86, 6.04, NG, 1660339564 
Castro, -24.7911, -50.0119, 54.25, 77, 5, 8.01, BR, 1660339566 
Torbay, 47.6666, -52.7314, 63.39, 89, 100, 12.66, CA, 1660339568 
New Norfolk, -42.7826, 147.0587, 47.91, 89, 52, 1.99, AU, 1660339569 
Sarangani, 5.4033, 125.4636, 83.1, 73, 75, 6.87, PH, 1660339571 
Tuktoyaktuk, 69.4541, -133.0374, 66.2, 59, 40, 10.36, CA, 1660339573 
Bonavista, 48.6499, -53.1147, 61.5, 87, 56, 14.99, CA, 1660339575 
Tiksi, 71.6872, 128.8694, 40.17, 90, 98, 8.55, RU, 1660339576 
Bredasdorp, -34.5322, 20.0403, 47.1, 82, 54, 5.77, ZA, 1660339578 
Bluff, -46.6, 168.3333, 44.8, 79, 76, 4.23, NZ, 1660339579 
Nikolskoye, 59.7035, 30.7861, 64.29, 86, 4, 3.78, RU, 1660339581 
Albany, 42.6001, -73.9662, 78.37, 36, 4, 10.47, US, 1660339203 
Saskylakh, 71.9167, 114.0833, 47.5, 65, 100, 1.66, RU, 1660339586 
Jamestown, 42.097, -79.2353, 75.06, 34, 0, 12.66, US, 1660339588 
Hervey Bay, -25.2986, 152.8535, 66.34, 80, 99, 7.87, AU, 1660339528 
Lebu, -37.6167, -73.65, 51.22, 92, 100, 19.37, CL, 1660339592 
Vaini, -21.2, -175.2, 75.36, 69, 20, 12.66, TO, 1660339594 
Coquimbo, -29.9533, -71.3436, 56.93, 71, 0, 8.05, CL, 1660339397 
Nizhniy Odes, 63.6445, 54.856, 53.47, 89, 100, 11.88, RU, 1660339599 
Constitución, -35.3333, -72.4167, 53.76, 71, 88, 6.2, CL, 1660339601 
Hermanus, -34.4187, 19.2345, 43.81, 71, 42, 3.94, ZA, 1660339603 
Evensk, 61.95, 159.2333, 55.85, 88, 92, 1.36, RU, 1660339604 
Thompson, 55.7435, -97.8558, 66.36, 52, 40, 6.91, CA, 1660339434 
Nabire, -3.3667, 135.4833, 75.22, 93, 99, 3.42, ID, 1660339608 
Atar, 20.5169, -13.0499, 86.04, 59, 100, 19.91, MR, 1660339611 
Norman Wells, 65.282, -126.8329, 75.24, 29, 20, 4.61, CA, 1660339613 
Hong Kong, 22.2855, 114.1577, 80.33, 92, 90, 4, HK, 1660339462 
Hobart, -42.8794, 147.3294, 49.26, 95, 75, 1.14, AU, 1660339616 
Oktyabr'skoye, 43.0645, 44.7417, 69.94, 94, 8, 8.95, RU, 1660339618 
Avarua, -21.2078, -159.775, 78.85, 78, 9, 9.22, CK, 1660339620 
Busselton, -33.65, 115.3333, 62.24, 52, 100, 23.85, AU, 1660339622 
Havre-St-Pierre, 50.2334, -63.5986, 64.76, 82, 0, 12.66, CA, 1660339624 
Isangel, -19.55, 169.2667, 71.71, 83, 75, 2.3, VU, 1660339626 
Qaanaaq, 77.484, -69.3632, 41.61, 76, 98, 17.96, GL, 1660339627 
Hilo, 19.7297, -155.09, 88.29, 74, 75, 9.22, US, 1660339550 
Zeya, 53.75, 127.2667, 55.74, 94, 96, 2.15, RU, 1660339630 
São Filipe, 14.8961, -24.4956, 76.8, 79, 23, 16.17, CV, 1660339632 
Esperance, -33.8667, 121.9, 48.92, 75, 46, 17.31, AU, 1660339635 
Nantucket, 41.2835, -70.0995, 77.11, 83, 0, 4.61, US, 1660339636 
Bethel, 41.3712, -73.414, 83.62, 37, 40, 11.5, US, 1660339619 
Thanatpin, 17.2119, 96.3033, 77.18, 93, 100, 5.14, MM, 1660339642 
Khani, 41.9563, 42.9566, 63.97, 87, 7, 3.24, GE, 1660339644 
Broome, 42.2506, -75.833, 76.17, 41, 20, 10.36, US, 1660339647 
Pevek, 69.7008, 170.3133, 32, 88, 100, 7.36, RU, 1660339648 
Sambava, -14.2667, 50.1667, 67.93, 84, 59, 10.38, MG, 1660339650 
Ushuaia, -54.8, -68.3, 35.26, 80, 0, 9.22, AR, 1660339652 
Kavaratti, 10.5669, 72.642, 80.91, 82, 73, 15.19, IN, 1660339654 
Cape Town, -33.9258, 18.4232, 53.11, 84, 40, 1.14, ZA, 1660339658 
Kendari, -3.945, 122.4989, 74.77, 93, 95, 1.19, ID, 1660339660 
Riyadh, 24.6877, 46.7219, 102.34, 15, 60, 15.66, SA, 1660339461 
Kavieng, -2.5744, 150.7967, 81, 75, 100, 10.31, PG, 1660339663 
Eureka, 40.8021, -124.1637, 74.19, 72, 2, 7, US, 1660339666 
Heihe, 50.2441, 127.4902, 57.78, 91, 91, 3.38, CN, 1660339668 
Kirakira, -10.4544, 161.9205, 79.45, 84, 63, 5.93, SB, 1660339513 
Portland, 45.5234, -122.6762, 83.62, 51, 40, 5.75, US, 1660339462 
Kumul, 42.8, 93.45, 82.08, 27, 100, 15.61, CN, 1660339673 
Atuona, -9.8, -139.0333, 76.82, 72, 67, 23.22, PF, 1660339675 
Half Moon Bay, 37.4636, -122.4286, 86.59, 60, 0, 23.02, US, 1660339676 
Provideniya, 64.3833, -173.3, 50.25, 94, 100, 5.39, RU, 1660339678 
Port Elizabeth, -33.918, 25.5701, 55.69, 81, 20, 12.66, ZA, 1660339680 
Hue, 16.4667, 107.6, 78.91, 89, 20, 2.3, VN, 1660339682 
Punta Arenas, -53.15, -70.9167, 35.71, 87, 75, 14.97, CL, 1660339616 
Barrow, 71.2906, -156.7887, 46.42, 93, 100, 18.41, US, 1660339476 
Sainte-Maxime, 43.3, 6.6333, 79.72, 87, 10, 6.31, FR, 1660339688 
Denpasar, -8.65, 115.2167, 76.71, 100, 75, 6.91, ID, 1660339676 
Cherskiy, 68.75, 161.3, 40.62, 70, 55, 13.78, RU, 1660339692 
Pemangkat, 1.1667, 108.9667, 78.57, 89, 98, 6.04, ID, 1660339693 
Kudahuvadhoo, 2.6708, 72.8944, 81.36, 77, 65, 3.69, MV, 1660339695 
Saint-Michel-des-Saints, 46.6834, -73.9159, 64.94, 60, 97, 7.05, CA, 1660339698 
Sørland, 67.667, 12.6934, 51.66, 82, 100, 19.57, NO, 1660339700 
Brae, 60.3964, -1.353, 54.59, 76, 100, 4.25, GB, 1660339705 
Kwinana, -32.25, 115.7667, 59.94, 43, 99, 7, AU, 1660339707 
Butaritari, 3.0707, 172.7902, 81.12, 78, 71, 13.53, KI, 1660339709 
Saint Paul Harbor, 57.79, -152.4072, 56.71, 88, 100, 9.22, US, 1660339507 
Kapaa, 22.0752, -159.319, 82.38, 74, 40, 10.36, US, 1660339713 
Yulara, -25.2406, 130.9889, 41.58, 79, 0, 4.25, AU, 1660339715 
La Grande, 45.3246, -118.0877, 95.02, 17, 27, 5.44, US, 1660339427 
Maceió, -9.6658, -35.7353, 80.04, 78, 40, 10.36, BR, 1660339718 
Cururupu, -1.8283, -44.8683, 77.88, 80, 47, 4.99, BR, 1660339722 
Narsaq, 60.9167, -46.05, 53.82, 89, 100, 2.04, GL, 1660339724 
Hirado, 33.3597, 129.5531, 80.38, 83, 63, 6.46, JP, 1660339726 
Yamada, 39.4667, 141.95, 75.4, 93, 85, 8.19, JP, 1660339729 
Mossamedes, -15.1961, 12.1522, 63.39, 87, 76, 3.38, AO, 1660339731 
Yilan, 24.757, 121.753, 80.91, 99, 85, 3.62, TW, 1660339732 
Mataura, -46.1927, 168.8643, 44.47, 88, 100, 1.83, NZ, 1660339734 
Vanimo, -2.6741, 141.3028, 76.48, 90, 100, 6.82, PG, 1660339736 
Bambous Virieux, -20.3428, 57.7575, 69.22, 73, 75, 14.97, MU, 1660339737 
São Sebastião, -23.76, -45.4097, 64.02, 82, 39, 7.81, BR, 1660339484 
Arraial do Cabo, -22.9661, -42.0278, 66.16, 77, 20, 5.75, BR, 1660339741 
Santa Cruz de la Sierra, -17.8, -63.1667, 80.06, 47, 3, 23.02, BO, 1660339568 
Peniche, 39.3558, -9.3811, 69.12, 88, 0, 9.31, PT, 1660339745 
Roshchino, 60.2519, 29.6085, 61.47, 84, 2, 5.44, RU, 1660339748 
Mount Gambier, -37.8333, 140.7667, 44.19, 96, 94, 4.38, AU, 1660339749 
Ilobu, 7.8333, 4.4833, 70.81, 97, 100, 4.34, NG, 1660339751 
Maple Creek, 49.9168, -109.4848, 87.85, 30, 4, 8.05, CA, 1660339753 
Aquiraz, -3.9014, -38.3911, 80.69, 84, 19, 10.45, BR, 1660339755 
Clarksburg, 39.2807, -80.3445, 80.91, 41, 0, 8.05, US, 1660339756 
Carnarvon, -24.8667, 113.6333, 62.67, 72, 75, 10.36, AU, 1660339759 
Diofior, 14.1833, -16.6667, 80.67, 77, 83, 14.07, SN, 1660339761 
Hasaki, 35.7333, 140.8333, 81.28, 85, 100, 20.94, JP, 1660339763 
Cabinda, -5.55, 12.2, 69.55, 83, 5, 6.08, AO, 1660339765 
George Town, 5.4112, 100.3354, 81.95, 93, 20, 2.3, MY, 1660339582 
Mayo, 38.8876, -76.5119, 85.1, 51, 40, 8.05, US, 1660339769 
São João da Barra, -21.6403, -41.0511, 69.89, 64, 34, 11.99, BR, 1660339771 
Pandamatenga, -18.5278, 25.627, 63.32, 42, 3, 5.41, BW, 1660339775 
Meadow Lake, 34.8014, -106.5436, 89.55, 33, 14, 7.05, US, 1660339777 
Klaksvík, 62.2266, -6.589, 52.72, 86, 4, 14.38, FO, 1660339779 
Moose Factory, 51.2585, -80.6094, 78.8, 41, 20, 8.05, CA, 1660339780 
Puerto Escondido, 15.85, -97.0667, 90.43, 58, 40, 13.8, MX, 1660339783 
Vila Franca do Campo, 37.7167, -25.4333, 73.81, 87, 20, 6.04, PT, 1660339785 
Margate, 51.3813, 1.3862, 69.69, 88, 0, 4, GB, 1660339787 
Mar del Plata, -38.0023, -57.5575, 56.08, 87, 0, 11.01, AR, 1660339789 
Yellowknife, 62.456, -114.3525, 72.12, 43, 20, 12.66, CA, 1660339591 
Baruun-Urt, 46.6806, 113.2792, 58.33, 58, 91, 0.98, MN, 1660339792 
Prince Rupert, 54.3161, -130.3201, 60.89, 92, 100, 9.22, CA, 1660339508 
Harbour Breton, 47.4833, -55.7983, 63.25, 94, 100, 11.1, CA, 1660339796 
Simpang, -1.2667, 104.0833, 75.02, 95, 78, 2.17, ID, 1660339798 
Alofi, -19.0595, -169.9187, 78.69, 69, 75, 9.22, NU, 1660339800 
Vanavara, 60.34, 102.2797, 46.27, 93, 74, 1.12, RU, 1660339804 
Chokurdakh, 70.6333, 147.9167, 42.28, 63, 99, 8.97, RU, 1660339806 
Anáhuac, 27.2333, -100.15, 95.38, 35, 81, 10.29, MX, 1660339809 
Magnolia, 33.2671, -93.2393, 91.09, 66, 96, 2.06, US, 1660339811 
Flinders, -34.5833, 150.8552, 53.26, 89, 90, 1.99, AU, 1660339814 
Kaeo, -35.1, 173.7833, 52.32, 88, 54, 7.11, NZ, 1660339816 
Guarapari, -20.6667, -40.4975, 69.89, 75, 21, 6.58, BR, 1660339819 
Esmeraldas, -19.7625, -44.3139, 70.84, 40, 45, 6.31, BR, 1660339821 
Yelets, 52.6237, 38.5017, 65.59, 67, 1, 9.28, RU, 1660339823 
Tiarei, -17.5333, -149.3333, 84.22, 77, 48, 15.48, PF, 1660339825 
Salalah, 17.0151, 54.0924, 77.09, 100, 100, 8.05, OM, 1660339586 
Baringo, 0.4667, 35.9667, 67.84, 86, 100, 7.38, KE, 1660339828 
The Valley, 18.217, -63.0578, 85.86, 65, 20, 11.5, AI, 1660339832 
Fortuna, 40.5982, -124.1573, 70.92, 66, 20, 13.8, US, 1660339817 
Vardø, 70.3705, 31.1107, 51.78, 76, 100, 20.71, NO, 1660339838 
Savannah Bight, 16.45, -85.85, 82.67, 75, 38, 16.84, HN, 1660339840 
Mahébourg, -20.4081, 57.7, 69.26, 73, 75, 14.97, MU, 1660339842 
Dingle, 10.9995, 122.6711, 76.91, 89, 100, 2.35, PH, 1660339844 
Puerto Ayora, -0.7393, -90.3518, 76.96, 98, 100, 8.99, EC, 1660339846 
Zhangye, 38.9342, 100.4517, 77.14, 68, 100, 1.68, CN, 1660339848 
Aljezur, 37.3191, -8.8033, 65.01, 91, 5, 7.76, PT, 1660339849 
Togur, 58.3631, 82.8265, 49.53, 81, 2, 5.86, RU, 1660339851 
Ribeira Grande, 38.5167, -28.7, 75.49, 79, 8, 7.43, PT, 1660339853 
Ipixuna, -1.7625, -48.8043, 80.98, 75, 16, 7.02, BR, 1660339856 
Zyryanka, 65.75, 150.85, 59.85, 56, 95, 11.9, RU, 1660339858 
Abong Mbang, 3.9833, 13.1833, 68.04, 97, 93, 2.98, CM, 1660339860 
Varzelândia, -15.7014, -44.0275, 73.33, 53, 20, 13.56, BR, 1660339862 
Sabha, 27.0377, 14.4283, 87.84, 20, 0, 7.29, LY, 1660339864 
Marabu, 4.4148, 114.0089, 77.14, 100, 20, 0, MY, 1660339866 
Khovd, 48.0056, 91.6419, 58.8, 78, 81, 6.22, MN, 1660339869 
Gravdal, 68.1214, 13.5031, 49.89, 93, 75, 5.75, NO, 1660339871 
Ilulissat, 69.2167, -51.1, 50.02, 66, 75, 6.91, GL, 1660339874 
Viedma, -40.8135, -62.9967, 56.01, 44, 32, 9.37, AR, 1660339829 
Beringovskiy, 63.05, 179.3167, 52.32, 92, 100, 4.41, RU, 1660339879 
Albano Laziale, 41.726, 12.6313, 74.12, 72, 0, 8.05, IT, 1660339881 
Pacifica, 37.6138, -122.4869, 82.9, 72, 20, 23.02, US, 1660339868 
Aklavik, 68.2191, -135.0107, 74.66, 32, 5, 5.44, CA, 1660339886 
Kindu, -2.95, 25.95, 73.67, 74, 42, 2.91, CD, 1660339888 
San Francisco, 37.7749, -122.4194, 89.51, 69, 20, 24, US, 1660339441 
Huarmey, -10.0681, -78.1522, 65.82, 74, 7, 10.67, PE, 1660339892 
Stantsionno-Oyashinskiy, 55.4664, 83.8245, 52.59, 77, 1, 2.59, RU, 1660339895 
Iquique, -20.2208, -70.1431, 60.84, 73, 47, 8.79, CL, 1660339616 
Beba, 22.4437, -79.7253, 88.07, 73, 83, 10.8, CU, 1660339899 
Tombouctou, 20, -3, 93.81, 33, 52, 8.14, ML, 1660339901 
Vaitape, -16.5167, -151.75, 77.68, 75, 51, 15.99, PF, 1660339903 
Pierre, 44.3683, -100.351, 88.72, 51, 0, 12.66, US, 1660339906 
Barcelos, 41.5388, -8.6151, 71.85, 90, 26, 2.84, PT, 1660339669 
Saint-Joseph, -21.3667, 55.6167, 66.58, 76, 73, 13.42, RE, 1660339910 
Shaunavon, 49.6501, -108.4181, 91.18, 24, 4, 4.7, CA, 1660339689 
Sosnovo-Ozerskoye, 52.5249, 111.5418, 46.8, 85, 8, 4.85, RU, 1660339914 
Te Anau, -45.4167, 167.7167, 37.51, 89, 54, 0.87, NZ, 1660339839 
Yangi Marg`ilon, 40.4272, 71.7189, 79.52, 31, 0, 2.3, UZ, 1660339917 
Nouakchott, 18.0858, -15.9785, 82.33, 85, 22, 10.6, MR, 1660339919 
Kismayo, -0.3582, 42.5454, 74.64, 82, 53, 16.22, SO, 1660339920 
Leningradskiy, 69.3833, 178.4167, 34.99, 81, 100, 15.64, RU, 1660339922 
Tirat Carmel, 32.7617, 34.9719, 79.59, 72, 0, 6.64, IL, 1660339925 
Morón, -34.6534, -58.6198, 65.05, 66, 100, 4.94, AR, 1660339926 
Kirtipur, 27.6667, 85.2833, 73.33, 88, 75, 0, NP, 1660339928 
Dikson, 73.5069, 80.5464, 45.59, 96, 100, 27.69, RU, 1660339930 
Hope, 33.6671, -93.5916, 93.25, 47, 66, 4.83, US, 1660339932 
Hamilton, 39.1834, -84.5333, 80.89, 48, 0, 11.5, US, 1660339638 
Port Macquarie, -31.4333, 152.9167, 53.89, 91, 99, 6.53, AU, 1660339898 
Onguday, 50.75, 86.15, 55.04, 89, 94, 2.42, RU, 1660339938 
Svetlaya, 46.5389, 138.3297, 65.07, 72, 19, 3.31, RU, 1660339941 
Kapit, 2.0167, 112.9333, 74.08, 99, 80, 1.01, MY, 1660339944 
Pisco, -13.7, -76.2167, 64.45, 77, 0, 8.05, PE, 1660339946 
Faanui, -16.4833, -151.75, 77.7, 75, 50, 15.93, PF, 1660339949 
Cabo San Lucas, 22.8909, -109.9124, 95.61, 55, 0, 10.36, MX, 1660339702 
Batagay-Alyta, 67.8006, 130.4114, 43.9, 85, 100, 9.17, RU, 1660339952 
Paamiut, 61.994, -49.6678, 44.13, 90, 95, 3.09, GL, 1660339953 
Shimoda, 34.6667, 138.95, 76.1, 89, 76, 14.09, JP, 1660339955 
Wanaka, -44.7, 169.15, 34.11, 80, 19, 1.99, NZ, 1660339958 
Lianzhou, 24.7811, 112.3825, 73.83, 98, 91, 2.66, CN, 1660339960 
Biak, -0.9131, 122.8766, 75.42, 89, 90, 6.11, ID, 1660339962 
Kidal, 18.4411, 1.4078, 90.52, 35, 63, 16.06, ML, 1660339964 
Kruisfontein, -34.0033, 24.7314, 51.89, 74, 97, 11.48, ZA, 1660339966 
Rio Grande, -32.035, -52.0986, 60.94, 81, 60, 12.41, BR, 1660339968 
Ponta do Sol, 32.6667, -17.1, 72.72, 78, 25, 1.88, PT, 1660339969 
Qom, 34.6401, 50.8764, 85.68, 12, 0, 7.74, IR, 1660339971 
East London, -33.0153, 27.9116, 59.77, 71, 94, 11.74, ZA, 1660339973 
Muyezerskiy, 63.9333, 31.65, 48.51, 78, 29, 5.5, RU, 1660339976 
Thinadhoo, 0.5333, 72.9333, 81.73, 78, 21, 9.6, MV, 1660339978 
Severo-Kuril'sk, 50.6789, 156.125, 55.98, 95, 98, 9.42, RU, 1660339980 
Belebey, 54.1167, 54.1167, 57.6, 78, 34, 3.42, RU, 1660339982 
Puerto del Rosario, 28.5004, -13.8627, 74.95, 73, 20, 17.27, ES, 1660339984 
Kirgiz-Miyaki, 53.6324, 54.7979, 57.56, 76, 15, 2.28, RU, 1660339986 
High Level, 58.5169, -117.136, 71.71, 60, 20, 4.61, CA, 1660339988 
Katsuura, 35.1333, 140.3, 80.55, 86, 100, 19.77, JP, 1660339990 
Mayor Pablo Lagerenza, -19.9309, -60.7718, 82.58, 28, 2, 8.5, PY, 1660339992 
Buala, -8.145, 159.5921, 82.24, 72, 72, 3.8, SB, 1660339994 
Makurdi, 7.7411, 8.5121, 73.58, 96, 98, 6.67, NG, 1660339996 
Orcopampa, -15.2661, -72.3417, 53.49, 33, 68, 10.11, PE, 1660339998 
Bend, 44.0582, -121.3153, 89.37, 26, 0, 12.66, US, 1660339987 
Tasiilaq, 65.6145, -37.6368, 39.36, 66, 19, 3.09, GL, 1660340003 
Parsons, 37.3403, -95.2611, 97.09, 22, 80, 10.92, US, 1660339849 
Medina, 24.4686, 39.6142, 97.23, 21, 40, 17.27, SA, 1660339835 
Pushkino, 56.0172, 37.8667, 68.09, 69, 97, 1.79, RU, 1660340010 
Gobabis, -22.45, 18.9667, 56.35, 13, 1, 4.61, NA, 1660340013 
Mareeba, -17, 145.4333, 63.45, 90, 35, 1.81, AU, 1660340016 
Sur, 22.5667, 59.5289, 86.92, 63, 100, 10.58, OM, 1660340018 
Port Blair, 11.6667, 92.75, 78.84, 89, 75, 4.61, IN, 1660340020 
Lamballe, 48.4676, -2.5144, 73.51, 85, 0, 6.17, FR, 1660340023 
Belyy Yar, 53.6039, 91.3903, 59.86, 88, 0, 2.24, RU, 1660340024 
Marsaxlokk, 35.8419, 14.5431, 82.08, 73, 0, 5.75, MT, 1660340026 
Concarneau, 47.875, -3.9225, 79.09, 45, 0, 7.47, FR, 1660340028 
Saint Anthony, 45.0205, -93.218, 74.01, 69, 40, 17.27, US, 1660339823 
Samarai, -10.6167, 150.6667, 78.53, 85, 100, 9.42, PG, 1660340031 
Palmer, 42.1584, -72.3287, 82.24, 36, 75, 9.22, US, 1660340033 
Upernavik, 72.7868, -56.1549, 45.36, 70, 100, 5.26, GL, 1660340035 
Ugoofaaru, 5.6667, 73, 81.36, 79, 97, 7.25, MV, 1660340036 
Tequila, 20.8833, -103.8333, 85.78, 44, 91, 2.44, MX, 1660340039 
Chibombo, -14.6569, 28.0706, 59.29, 44, 20, 5.55, ZM, 1660340040 
Homer, 59.6425, -151.5483, 62.04, 90, 100, 14.97, US, 1660340042 
Rehoboth, -23.3167, 17.0833, 55.9, 8, 4, 7.2, NA, 1660340044 
Cedar City, 37.6775, -113.0619, 68.97, 78, 75, 11.5, US, 1660339780 
Balakhta, 55.38, 91.6, 52.07, 86, 3, 2.17, RU, 1660340047 
Longyearbyen, 78.2186, 15.6401, 48.04, 61, 75, 11.5, SJ, 1660340049 
Codrington, -38.2667, 141.9667, 45.54, 95, 95, 8.23, AU, 1660340051 
Abu Kamal, 34.4506, 40.9171, 89.31, 33, 0, 12.71, SY, 1660340058 
Ishigaki, 24.3448, 124.1572, 80.73, 94, 40, 1.14, JP, 1660340060 
Matagami, 49.7502, -77.6328, 69.91, 37, 0, 6.91, CA, 1660340062 
Novoagansk, 61.9449, 76.6625, 57.52, 89, 100, 8.03, RU, 1660340064 
Barsovo, 61.1667, 73.1667, 62.73, 93, 100, 6.46, RU, 1660340066 
Ballina, -28.8667, 153.5667, 60.78, 98, 100, 10.54, AU, 1660340068 
Alyangula, -13.8483, 136.4192, 64.27, 100, 75, 0, AU, 1660340070 
Iralaya, 15, -83.2333, 82.8, 76, 12, 8.37, HN, 1660340072 
Lompoc, 34.6391, -120.4579, 80.85, 63, 20, 17.27, US, 1660339782 
Honiara, -9.4333, 159.95, 81.59, 75, 46, 2.71, SB, 1660340077 
Verkhnevilyuysk, 63.4453, 120.3167, 53.98, 83, 97, 6.58, RU, 1660340079 
